m1_surv,m2_surv
1,1
0.99977,0.99085
0.99904,0.98573
0.99706,0.9811
0.99604,0.98007
0.99391,0.97955
0.9907,0.97722
0.98835,0.97566
0.98633,0.97514
0.98539,0.97383
0.98369,0.97279
0.98158,0.97201
0.98039,0.9707
0.97828,0.9694
0.97666,0.9694
0.97413,0.9673
0.97162,0.96678
0.96981,0.96495
0.96681,0.96442
0.96522,0.96442
0.96481,0.9639
0.96359,0.96284
0.96197,0.96284
0.961,0.96258
0.95966,0.96258
0.95796,0.96126
0.95665,0.96074
0.9553,0.95994
0.95502,0.95942
0.95335,0.95915
0.95132,0.95862
0.95,0.95862
0.9485,0.95809
0.94708,0.95703
0.94552,0.9565
0.94197,0.95623
0.94053,0.95543
0.93777,0.9549
0.93614,0.95383
0.93366,0.9533
0.93125,0.9533
0.92893,0.9533
0.9263,0.95277
0.92588,0.95277
0.92435,0.95277
0.92322,0.95223
0.92196,0.95169
0.92196,0.95169
0.92057,0.95169
0.91789,0.95116
0.91631,0.95089
0.91631,0.95062
0.91428,0.95062
0.91228,0.95035
0.91149,0.95035
0.90888,0.95035
0.90723,0.94982
0.90504,0.94955
0.90291,0.94928
0.90234,0.94928
0.90148,0.94928
0.89875,0.94874
0.8955,0.94874
0.89397,0.94793
0.89357,0.9474
0.89259,0.9474
0.89259,0.9474
0.8916,0.94686
0.89009,0.94659
0.88952,0.94659
0.88818,0.94659
0.88774,0.94632
0.88629,0.94632
0.88469,0.94632
0.88244,0.94605
0.87996,0.94578
0.87941,0.94551
0.87761,0.94551
0.87573,0.94551
0.87487,0.94551
0.8737,0.94551
0.87093,0.94551
0.87093,0.94497
0.87035,0.9447
0.8695,0.94443
0.8695,0.94443
0.8695,0.94443
0.86715,0.94443
0.86568,0.94389
0.86465,0.94389
0.86189,0.94389
0.85973,0.94362
0.8585,0.94308
0.85679,0.94254
0.85633,0.94199
0.8557,0.94172
0.85396,0.94145
0.85177,0.94145
0.85114,0.94117
0.85065,0.94117
0.84972,0.94063
0.84875,0.94063
0.84775,0.94036
0.84496,0.94036
0.84382,0.94036
0.8427,0.94036
0.8427,0.94036
0.84158,0.94036
0.8395,0.94008
0.83898,0.94008
0.8352,0.94008
0.83302,0.94008
0.83238,0.94008
0.83187,0.94008
0.83013,0.93981
0.82731,0.93981
0.82731,0.93981
0.82499,0.93953
0.82275,0.93899
0.82188,0.93871
0.82102,0.93871
0.82033,0.93844
0.81746,0.93817
0.81589,0.93817
0.81439,0.93817
0.81123,0.93762
0.81061,0.93762
0.80945,0.93762
0.80882,0.93762
0.80818,0.93707
0.80758,0.93707
0.80696,0.93707
0.80417,0.93679
0.8024,0.93652
0.80159,0.93569
0.79864,0.93569
0.7979,0.93569
0.7979,0.93569
0.79554,0.93542
0.79493,0.93514
0.79434,0.93514
0.79228,0.93514
0.78964,0.93459
0.78899,0.93431
0.78762,0.93431
0.78559,0.93431
0.78559,0.93431
0.78559,0.93404
0.78484,0.93404
0.78484,0.93376
0.78276,0.93376
0.78124,0.93376
0.77729,0.93349
0.77536,0.93349
0.77536,0.93349
0.77536,0.93349
0.77396,0.93349
0.77334,0.93349
0.77241,0.93349
0.77108,0.93349
0.77024,0.93321
0.76895,0.93321
0.76718,0.93321
0.76652,0.93321
0.76552,0.93293
0.76451,0.93266
0.76451,0.93266
0.76385,0.93238
0.76229,0.93238
0.76028,0.93183
0.76028,0.93183
0.7587,0.93183
0.7587,0.93155
0.75764,0.93155
0.75764,0.93155
0.75689,0.93155
0.75689,0.93128
0.75689,0.93128
0.75418,0.93128
0.75418,0.93128
0.75349,0.931
0.75164,0.931
0.75164,0.931
0.75164,0.931
0.74732,0.931
0.74519,0.93072
0.74342,0.93044
0.74256,0.93017
0.73963,0.93017
0.73963,0.93017
0.73866,0.93017
0.73764,0.93017
0.73764,0.93017
0.73581,0.93017
0.73389,0.93017
0.73326,0.92989
0.73326,0.92989
0.73181,0.92961
0.73181,0.92961
0.73056,0.92933
0.72879,0.92933
0.72879,0.92933
0.72699,0.92933
0.72699,0.92933
0.72699,0.92933
0.72614,0.92933
0.72614,0.92933
0.72423,0.92933
0.72423,0.92906
0.71568,0.92906
0.71481,0.92906
0.71413,0.92906
0.71304,0.92906
0.71155,0.92906
0.71155,0.92878
0.71155,0.92878
0.71155,0.92878
0.71049,0.92878
0.70972,0.92878
0.70863,0.9285
0.70863,0.9285
0.70863,0.9285
0.70743,0.9285
0.70452,0.9285
0.70378,0.9285
0.7027,0.9285
0.701,0.9285
0.6975,0.9285
0.69588,0.9285
0.69507,0.9285
0.69357,0.92822
0.69118,0.92822
0.69118,0.92822
0.69118,0.92822
0.69034,0.92822
0.69034,0.92822
0.69034,0.92822
0.68861000000000006,0.92822
0.68861000000000006,0.92794
0.68799,0.92794
0.68799,0.92794
0.68799,0.92766
0.68799,0.92766
0.68799,0.92766
0.68799,0.92766
0.68613,0.92766
0.68396,0.9271
0.68396,0.92682
0.68396,0.92682
0.68201,0.92682
0.68201,0.92682
0.68107,0.92655
0.68107,0.92655
0.6798,0.92655
0.67748,0.92655
0.67748,0.92655
0.67748,0.92627
0.67636,0.92598
0.675,0.92598
0.675,0.92598
0.67404,0.92598
0.67404,0.92598
0.67404,0.9257
0.67404,0.9257
0.67227,0.9257
0.67149,0.9257
0.67149,0.92542
0.67149,0.92542
0.66742,0.92542
0.66551,0.92542
0.66551,0.92542
0.66448,0.92542
0.66138,0.92542
0.66138,0.92542
0.66024,0.92514
0.65956,0.92514
0.65721,0.92514
0.65721,0.92514
0.65721,0.92458
0.65615,0.92429
0.65505,0.92429
0.65343,0.92429
0.65343,0.92401
0.65343,0.92373
0.65343,0.92344
0.65343,0.92344
0.65343,0.92344
0.65238,0.92344
0.65101,0.92344
0.65101,0.92344
0.64993,0.92344
0.64993,0.92344
0.64993,0.92344
0.64993,0.92344
0.64993,0.92344
0.64993,0.92316
0.64993,0.92316
0.64993,0.92316
0.64993,0.92316
0.64993,0.92316
0.64993,0.92316
0.64542,0.92316
0.64542,0.92316
0.64421,0.92316
0.64421,0.92316
0.64253,0.92287
0.64253,0.92259
0.64253,0.9223
0.64253,0.9223
0.64025,0.9223
0.64025,0.9223
0.63945,0.9223
0.63821,0.9223
0.63821,0.9223
0.63731,0.9223
0.63528,0.9223
0.63528,0.9223
0.63528,0.92201
0.63528,0.92172
0.63528,0.92172
0.63194,0.92172
0.63194,0.92172
0.63194,0.92172
0.63011,0.92172
0.63011,0.92142
0.62898,0.92142
0.62898,0.92142
0.62754,0.92142
0.62754,0.92142
0.62754,0.92142
0.62754,0.92113
0.62368,0.92113
0.62294,0.92084
0.62294,0.92084
0.62182,0.92084
0.61952,0.92084
0.61799,0.92084
0.61799,0.92025
0.61799,0.92025
0.61799,0.92025
0.61703,0.91995
0.61703,0.91995
0.61554,0.91965
0.61554,0.91965
0.61469,0.91965
0.61469,0.91965
0.61469,0.91965
0.61469,0.91965
0.61469,0.91965
0.61362,0.91936
0.61362,0.91876
0.61167,0.91876
0.61016,0.91876
0.61016,0.91876
0.61016,0.91876
0.61016,0.91876
0.61016,0.91846
0.60221,0.91846
0.60113,0.91846
0.60113,0.91846
0.60014,0.91846
0.60014,0.91846
0.60014,0.91816
0.60014,0.91816
0.59916,0.91816
0.59795,0.91786
0.59795,0.91755
0.59795,0.91755
0.59795,0.91755
0.59795,0.91755
0.59795,0.91755
0.59695,0.91755
0.59695,0.91755
0.59619,0.91755
0.59307,0.91755
0.59112,0.91755
0.59112,0.91755
0.58995,0.91755
0.58995,0.91755
0.58892,0.91755
0.58824,0.91755
0.58824,0.91755
0.58824,0.91755
0.58824,0.91755
0.58605,0.91725
0.58605,0.91694
0.58605,0.91694
0.58605,0.91694
0.58605,0.91694
0.58605,0.91694
0.58013,0.91694
0.57853,0.91664
0.57853,0.91664
0.57853,0.91664
0.57853,0.91664
0.57853,0.91664
0.57853,0.91633
0.5763,0.91633
0.57446,0.91602
0.57446,0.91602
0.57446,0.91602
0.57446,0.91602
0.57382,0.91602
0.5713,0.91572
0.5713,0.91572
0.5693,0.91572
0.5693,0.91572
0.5693,0.91541
0.5693,0.91541
0.5693,0.91541
0.56627,0.91541
0.56627,0.91541
0.56557,0.91541
0.56488,0.91541
0.56373,0.9151
0.5626,0.9151
0.56108,0.9151
0.55857,0.91479
0.55857,0.91479
0.55414,0.91479
0.55299,0.91479
0.55074,0.91479
0.55074,0.91479
0.55074,0.91479
0.55074,0.91448
0.54881,0.91448
0.54547,0.91448
0.54547,0.91448
0.54367,0.91448
0.54367,0.91448
0.54367,0.91448
0.54367,0.91448
0.54367,0.91448
0.54367,0.91448
0.54367,0.91448
0.54233,0.91417
0.54233,0.91417
0.54073,0.91417
0.54073,0.91417
0.54073,0.91417
0.54073,0.91417
0.54073,0.91417
0.54073,0.91417
0.54073,0.91417
0.54073,0.91417
0.54073,0.91417
0.54073,0.91417
0.54073,0.91417
0.53641,0.91417
0.53641,0.91417
0.53641,0.91386
0.53641,0.91386
0.53641,0.91386
0.53641,0.91386
0.53641,0.91386
0.53542,0.91386
0.53411,0.91355
0.53118,0.91355
0.53118,0.91355
0.53118,0.91355
0.53118,0.91355
0.52967,0.91355
0.52856,0.91355
0.52709,0.91355
0.52658,0.91355
0.52658,0.91355
0.52658,0.91355
0.52658,0.91355
0.52658,0.91355
0.52658,0.91355
0.52658,0.91355
0.52658,0.91324
0.52658,0.91324
0.52658,0.91324
0.52658,0.91324
0.52532,0.91324
0.52532,0.91324
0.52391,0.91293
0.52391,0.91293
0.52391,0.91293
0.52391,0.91293
0.52391,0.91293
0.52391,0.91293
0.52391,0.91262
0.52236,0.91262
0.52236,0.91262
0.52236,0.9123
0.52236,0.9123
0.52236,0.9123
0.52236,0.9123
0.52236,0.91199
0.52236,0.91199
0.52118,0.91199
0.52118,0.91199
0.52118,0.91199
0.5134,0.91199
0.5134,0.91199
0.50956,0.91199
0.50956,0.91199
0.50956,0.91199
0.50956,0.91199
0.50956,0.91199
0.50956,0.91199
0.50956,0.91199
0.50644,0.91199
0.50644,0.91199
0.50644,0.91199
0.50415,0.91199
0.50415,0.91199
0.50415,0.91199
0.50415,0.91168
0.50415,0.91168
0.50415,0.91168
0.50415,0.91168
0.5034,0.91105
0.5034,0.91105
0.5034,0.91105
0.5034,0.91074
0.5034,0.91074
0.50281,0.91074
0.50281,0.91074
0.50281,0.91043
0.50281,0.91043
0.50281,0.91043
0.50281,0.91043
0.50035,0.91043
0.50035,0.91043
0.50035,0.91043
0.49938,0.91043
0.49938,0.91043
0.49938,0.91043
0.4985,0.91043
0.4985,0.91043
0.4985,0.91043
0.4985,0.91043
0.4985,0.91011
0.4985,0.9098
0.4985,0.9098
0.4985,0.9098
0.4985,0.9098
0.39986,0.9098
0.39986,0.9098
0.39986,0.9098
0.39986,0.90948
0.39986,0.90948
0.39419,0.90916
0.39014,0.90885
0.39014,0.90853
0.39014,0.90853
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.39014,0.9079
0.37343,0.9079
0.36916,0.9079
0.36916,0.90758
0.36916,0.90758
0.36916,0.90758
0.36819,0.90758
0.36819,0.90694
0.36819,0.90694
0.36819,0.90662
0.36819,0.90662
0.36819,0.90662
0.36819,0.90662
0.36819,0.90662
0.36819,0.90662
0.36819,0.90662
0.36148,0.90662
0.36148,0.90662
0.36148,0.90662
0.3569,0.90662
0.3569,0.90662
0.3569,0.90662
0.3569,0.90662
0.3569,0.90662
0.3569,0.90662
0.3569,0.9063
0.3569,0.9063
0.3569,0.90598
0.35182,0.90598
0.35182,0.90598
0.35182,0.90598
0.34796,0.90598
0.34796,0.90566
0.34796,0.90534
0.34796,0.90534
0.34796,0.90502
0.34796,0.90502
0.34796,0.90502
0.34796,0.90502
0.34796,0.90502
0.34796,0.90502
0.34796,0.90502
0.34796,0.90502
0.34796,0.90502
0.34796,0.90502
0.34796,0.90502
0.34557,0.90502
0.34429,0.90502
0.34099,0.90502
0.34099,0.90502
0.34099,0.9047
0.34099,0.9047
0.34099,0.9047
0.34099,0.9047
0.34099,0.90437
0.34099,0.90437
0.33385,0.90405
0.33385,0.90405
0.33385,0.90405
0.33385,0.90372
0.33385,0.90372
0.33385,0.90372
0.33385,0.9034
0.33385,0.9034
0.33385,0.9034
0.33172,0.90307
0.33172,0.90307
0.33172,0.90307
0.33172,0.90307
0.33172,0.90307
0.32947,0.90307
0.32947,0.90274
0.32947,0.90274
0.32947,0.90274
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90241
0.32947,0.90207
0.32947,0.90207
0.32947,0.90174
0.32947,0.90174
0.32546,0.90174
0.32546,0.90174
0.3235,0.90174
0.31936,0.90174
0.31936,0.90174
0.31565,0.90174
0.31565,0.90174
0.31565,0.90174
0.31565,0.90174
0.31565,0.90174
0.30706,0.90174
0.30706,0.90174
0.30706,0.90174
0.30706,0.90139
0.30706,0.90139
0.30706,0.90139
0.30706,0.90139
0.30706,0.90139
0.30706,0.90139
0.30706,0.90139
0.30548,0.90139
0.30548,0.90139
0.30379,0.90104
0.30379,0.90104
0.30379,0.90069
0.30171,0.90069
0.30171,0.90069
0.30171,0.90069
0.30171,0.90034
0.30171,0.90034
0.30171,0.90034
0.30171,0.90034
0.30171,0.90034
0.30171,0.90034
0.30171,0.89998
0.30171,0.89963
0.30171,0.89963
0.30171,0.89963
0.30171,0.89963
0.30171,0.89963
0.30171,0.89963
0.30171,0.89963
0.30171,0.89927
0.30171,0.89927
0.30171,0.89818
0.30171,0.89818
0.30171,0.89818
0.30171,0.89818
0.30171,0.89818
0.30171,0.89818
0.30171,0.89818
0.30171,0.89818
0.30171,0.89818
0.30171,0.89818
0.30171,0.89781
0.30171,0.89781
0.30171,0.89781
0.30171,0.89781
0.30171,0.89781
0.30171,0.89781
0.30171,0.89781
0.30171,0.89781
0.30171,0.89744
0.30171,0.89744
0.30171,0.89744
0.30171,0.89744
0.30171,0.89744
0.30171,0.89744
0.30171,0.89744
0.30171,0.89744
0.30171,0.89744
0.30171,0.89744
0.30171,0.89744
0.30171,0.89744
0.30171,0.89744
0.29569,0.89744
0.29569,0.89744
0.29569,0.89744
0.29569,0.89744
0.29569,0.89744
0.29569,0.89744
0.29569,0.89706
0.29569,0.89706
0.29569,0.89706
0.29569,0.89706
0.29569,0.89706
0.29569,0.89706
0.29569,0.89706
0.29569,0.89706
0.29569,0.89706
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29569,0.89668
0.29169,0.89668
0.28731,0.89668
0.28731,0.89668
0.28731,0.89668
0.28731,0.89668
0.28731,0.89629
0.28426,0.89629
0.28426,0.89629
0.28426,0.89629
0.28426,0.89629
0.27931,0.89629
0.27931,0.8959
0.27931,0.8959
0.27931,0.8959
0.27931,0.8959
0.27931,0.8959
0.27931,0.8959
0.27931,0.89551
0.27931,0.89551
0.27637,0.89551
0.27637,0.89512
0.27637,0.89512
0.27637,0.89472
0.27637,0.89472
0.27637,0.89472
0.27637,0.89433
0.27637,0.89433
0.27637,0.89433
0.27637,0.89433
0.27637,0.89433
0.27637,0.89433
0.27637,0.89433
0.27637,0.89433
0.27637,0.89355
0.27637,0.89355
0.27637,0.89355
0.27637,0.89355
0.27637,0.89355
0.27282,0.89355
0.27282,0.89355
0.27282,0.89355
0.27282,0.89355
0.27282,0.89355
0.27282,0.89355
0.27282,0.89315
0.26179,0.89315
